	num_hpo_annotation	num_patient	num_disease
Entrez:9179	65	1	1.0
Entrez:9343	65	10	1.0
Entrez:257	65	1	1.0
Entrez:3000	65	4	3.0
Entrez:79644	65	2	2.0
Entrez:6328	64	1	2.0
Entrez:285362	64	1	1.0
Entrez:2296	64	2	2.0
Entrez:138050	64	2	2.0
Entrez:166378	64	3	1.0
Entrez:5925	64	1	4.0
Entrez:10352	64	1	1.0
Entrez:7401	64	1	3.0
Entrez:2182	64	1	1.0
Entrez:6567	64	4	1.0
Entrez:6794	64	2	3.0
Entrez:60681	63	1	2.0
Entrez:55703	63	3	3.0
Entrez:5160	63	4	1.0
Entrez:54756	63	1	2.0
Entrez:3766	63	1	3.0
Entrez:80067	63	1	1.0
Entrez:6687	63	12	1.0
Entrez:50937	63	1	1.0
Entrez:11154	62	2	1.0
Entrez:50485	62	2	1.0
Entrez:4036	62	6	1.0
Entrez:55157	62	4	1.0
Entrez:51	62	1	1.0
Entrez:7337	62	11	1.0
Entrez:6772	62	4	3.0
Entrez:55906	61	2	1.0
Entrez:23299	61	4	2.0
Entrez:1593	61	4	1.0
Entrez:9851	61	1	1.0
Entrez:123263	61	1	2.0
Entrez:79228	61	2	1.0
Entrez:4747	60	3	3.0
Entrez:4882	60	1	3.0
Entrez:200205	60	1	2.0
Entrez:118429	60	4	1.0
Entrez:6712	60	2	2.0
Entrez:2561	60	1	1.0
Entrez:2811	60	3	4.0
Entrez:27245	59	9	1.0
Entrez:2257	59	2	1.0
Entrez:51412	59	3	1.0
Entrez:1213	59	1	1.0
Entrez:2290	59	8	1.0
Entrez:5063	59	3	1.0
Entrez:4647	59	2	3.0
Entrez:6121	59	3	2.0
Entrez:22954	59	1	2.0
Entrez:4212	58	1	1.0
Entrez:3785	58	8	2.0
Entrez:950	58	1	1.0
Entrez:92667	58	1	1.0
Entrez:8036	58	1	1.0
Entrez:9990	58	2	1.0
Entrez:4361	58	1	1.0
Entrez:283989	58	5	3.0
Entrez:347733	57	2	1.0
Entrez:4638	57	2	1.0
Entrez:9342	57	1	1.0
Entrez:2201	57	2	2.0
Entrez:2010	57	1	1.0
Entrez:1029	57	1	3.0
Entrez:6660	57	4	1.0
Entrez:8929	57	2	2.0
Entrez:84059	57	3	2.0
Entrez:2773	57	1	1.0
Entrez:25974	57	1	1.0
Entrez:54345	57	1	2.0
Entrez:3033	57	1	2.0
Entrez:1788	57	6	2.0
Entrez:158	56	1	1.0
Entrez:242	56	2	1.0
Entrez:1123	56	2	1.0
Entrez:3040	56	1	3.0
Entrez:37	56	1	1.0
Entrez:4094	56	1	2.0
Entrez:113246	56	1	1.0
Entrez:3679	56	1	1.0
Entrez:7399	56	15	2.0
Entrez:4149	56	1	1.0
Entrez:5296	56	1	1.0
Entrez:57192	55	1	1.0
Entrez:79631	55	1	1.0
Entrez:2624	55	1	4.0
Entrez:5172	55	3	2.0
Entrez:6338	55	1	3.0
Entrez:8120	55	1	1.0
Entrez:72	55	2	1.0
Entrez:23118	55	1	1.0
Entrez:6017	55	1	3.0
Entrez:1674	55	4	3.0
Entrez:4983	55	5	1.0
Entrez:4534	55	3	1.0
Entrez:4644	55	1	1.0
Entrez:23503	55	2	1.0
Entrez:5048	54	1	1.0
Entrez:10056	54	4	1.0
Entrez:7532	54	1	1.0
Entrez:6690	54	1	2.0
Entrez:51062	54	5	2.0
Entrez:80224	54	1	1.0
Entrez:7343	54	2	1.0
Entrez:4633	54	4	1.0
Entrez:4358	54	1	2.0
Entrez:9568	54	1	2.0
Entrez:1678	54	1	1.0
Entrez:23334	54	4	1.0
Entrez:8139	54	1	1.0
Entrez:10978	54	1	1.0
Entrez:26999	54	2	1.0
Entrez:4570	54	1	1.0
Entrez:8831	54	11	1.0
Entrez:84627	54	1	1.0
Entrez:28982	54	1	1.0
Entrez:81570	54	3	1.0
Entrez:10382	54	3	2.0
Entrez:5076	53	1	2.0
Entrez:8506	53	4	2.0
Entrez:5071	53	3	3.0
Entrez:7136	53	1	1.0
Entrez:91949	53	1	1.0
Entrez:23247	53	1	1.0
Entrez:168667	53	1	1.0
Entrez:10274	52	1	1.0
Entrez:686	52	3	1.0
Entrez:4125	52	1	1.0
Entrez:8625	52	1	1.0
Entrez:23233	52	1	1.0
Entrez:2639	52	5	1.0
Entrez:64919	52	2	2.0
Entrez:65992	52	1	1.0
Entrez:6910	52	4	1.0
Entrez:7546	51	2	1.0
Entrez:3054	51	1	1.0
Entrez:81603	51	2	
Entrez:1200	51	8	2.0
Entrez:81794	51	1	1.0
Entrez:10371	51	1	1.0
Entrez:65055	51	2	2.0
Entrez:710	51	1	2.0
Entrez:9091	51	1	
Entrez:202018	50	1	1.0
Entrez:11005	50	1	1.0
Entrez:2911	50	1	2.0
Entrez:4921	50	2	1.0
Entrez:3988	50	1	1.0
Entrez:2690	50	2	4.0
Entrez:2542	50	1	2.0
Entrez:7276	50	4	2.0
Entrez:6710	50	2	1.0
Entrez:1789	49	1	1.0
Entrez:3745	49	5	1.0
Entrez:79587	49	1	1.0
Entrez:3752	49	2	2.0
Entrez:23534	49	1	1.0
Entrez:2583	49	1	1.0
Entrez:5096	49	1	1.0
Entrez:1741	49	3	1.0
Entrez:1106	49	2	1.0
Entrez:6509	48	1	1.0
Entrez:778	48	3	3.0
Entrez:3145	48	3	1.0
Entrez:51601	48	1	1.0
Entrez:6571	48	2	1.0
Entrez:1001	48	1	2.0
Entrez:11107	48	1	1.0
Entrez:1436	48	3	2.0
Entrez:55823	48	1	1.0
Entrez:8086	48	2	1.0
Entrez:1763	47	1	2.0
Entrez:2798	47	1	1.0
Entrez:1535	47	2	1.0
Entrez:57217	47	2	1.0
Entrez:4709	47	1	1.0
Entrez:7021	47	1	2.0
Entrez:1760	47	1	1.0
Entrez:2492	47	1	2.0
Entrez:2318	47	3	3.0
Entrez:84162	47	2	1.0
Entrez:5551	47	1	3.0
Entrez:253738	46	4	1.0
Entrez:10002	46	2	2.0
Entrez:191	46	1	1.0
Entrez:7552	46	2	1.0
Entrez:11152	46	6	1.0
Entrez:65018	46	1	1.0
Entrez:54872	46	7	1.0
Entrez:10320	46	2	1.0
Entrez:727857	46	1	2.0
Entrez:139411	46	1	1.0
Entrez:55863	46	1	1.0
Entrez:11330	46	1	1.0
Entrez:124512	46	1	1.0
Entrez:7140	46	1	1.0
Entrez:54809	46	1	2.0
Entrez:137682	46	1	1.0
Entrez:1778	46	12	3.0
Entrez:54919	46	1	1.0
Entrez:142680	45	1	1.0
Entrez:8558	45	1	1.0
Entrez:51305	45	2	1.0
Entrez:8425	45	1	1.0
Entrez:339829	45	1	1.0
Entrez:11200	45	30	4.0
Entrez:28976	45	1	1.0
Entrez:55033	45	1	1.0
Entrez:55163	45	1	1.0
Entrez:10749	45	2	1.0
Entrez:8942	45	2	2.0
Entrez:54714	45	6	2.0
Entrez:6606	45	3	4.0
Entrez:6697	45	1	1.0
Entrez:51574	45	1	1.0
Entrez:145226	44	1	1.0
Entrez:3192	44	2	1.0
Entrez:6942	44	12	1.0
Entrez:80781	44	3	1.0
Entrez:1806	44	1	1.0
Entrez:6683	44	30	1.0
Entrez:26235	44	1	1.0
Entrez:3674	44	3	2.0
Entrez:4208	44	4	1.0
Entrez:825	44	16	2.0
Entrez:3690	44	4	2.0
Entrez:9581	44	1	1.0
Entrez:38	44	1	1.0
Entrez:388389	43	1	1.0
Entrez:56172	43	1	2.0
Entrez:112939	43	2	1.0
Entrez:1654	43	15	1.0
